     llat       llon      rlat       rlon
30.037581 -92.868569 30.119804 -92.907933
30.037613 -92.868549 30.119772 -92.907924
30.037648 -92.868546 30.119746 -92.907917
30.037674 -92.868536 30.119721 -92.907909
30.037702 -92.868533 30.119706 -92.907905
30.037729 -92.868522 30.119675 -92.907896
30.037749 -92.868512 30.119657 -92.907882
30.037783 -92.868501 30.119638 -92.907867
30.037816 -92.868481 30.119620 -92.907853
30.037843 -92.868471 30.119606 -92.907845
30.037870 -92.868460 30.119587 -92.907835
30.037906 -92.868456 30.119564 -92.907819
30.037940 -92.868445 30.119544 -92.907814
30.037962 -92.868443 30.119514 -92.907805
30.038018 -92.868429 30.119490 -92.907798
30.038047 -92.868426 30.119475 -92.907794
30.038077 -92.868432 30.119456 -92.907789
30.038115 -92.868437 30.119436 -92.907787
30.038145 -92.868442 30.119410 -92.907789
30.038175 -92.868448 30.119390 -92.907792
30.038213 -92.868453 30.119363 -92.907798
30.038253 -92.868474 30.119343 -92.907800
30.038277 -92.868481 30.119317 -92.907806
30.038316 -92.868494 30.119296 -92.907809
30.038348 -92.868508 30.119271 -92.907810
30.038394 -92.868512 30.119257 -92.907810
30.038420 -92.868535 30.119231 -92.907816
30.038452 -92.868550 30.119213 -92.907811
30.038492 -92.868563 30.119198 -92.907811
30.038526 -92.868586 30.119169 -92.907811
30.038561 -92.868617 30.119141 -92.907807
30.038587 -92.868640 30.119114 -92.907803
30.038607 -92.868672 30.119090 -92.907804
30.038635 -92.868704 30.119076 -92.907804
30.038655 -92.868737 30.119052 -92.907806
30.038682 -92.868760 30.119034 -92.907805
30.038710 -92.868792 30.119017 -92.907799
30.038729 -92.868817 30.119008 -92.907797
30.038758 -92.868857 30.118958 -92.907794
30.038777 -92.868881 30.118935 -92.907796
30.038806 -92.868922 30.118912 -92.907797
30.038811 -92.868956 30.118893 -92.907800
30.038832 -92.868997 30.118875 -92.907803
30.038845 -92.869030 30.118857 -92.907802
30.038865 -92.869063 30.118835 -92.907803
30.038893 -92.869096 30.118821 -92.907807
30.038914 -92.869129 30.118799 -92.907804
30.038942 -92.869162 30.118785 -92.907808
30.038954 -92.869187 30.118768 -92.907807
30.038975 -92.869228 30.118747 -92.907801
30.038996 -92.869261 30.118730 -92.907804
30.039009 -92.869295 30.118717 -92.907800
30.039013 -92.869321 30.118692 -92.907796
30.039027 -92.869363 30.118667 -92.907792
30.039032 -92.869398 30.118647 -92.907790
30.039048 -92.869449 30.118618 -92.907785
30.039054 -92.869491 30.118600 -92.907792
30.039066 -92.869517 30.118584 -92.907790
30.039072 -92.869559 30.118570 -92.907794
30.039080 -92.869611 30.118549 -92.907799
30.039086 -92.869653 30.118523 -92.907803
30.039095 -92.869713 30.118507 -92.907802
30.039100 -92.869747 30.118489 -92.907808
30.039097 -92.869782 30.118472 -92.907811
30.039102 -92.869816 30.118456 -92.907814
30.039101 -92.869859 30.118439 -92.907816
30.039106 -92.869893 30.118422 -92.907819
30.039111 -92.869927 30.118410 -92.907819
30.039119 -92.869987 30.118390 -92.907820
30.039126 -92.870030 30.118374 -92.907823
30.039124 -92.870073 30.118357 -92.907825
30.039123 -92.870115 30.118348 -92.907830
